Date,^NDX
2002-03-20,1451.02001953125
2002-03-21,1488.969970703125
2002-03-22,1470.0999755859375
2002-03-25,1427.5999755859375
2002-03-26,1439.550048828125
2002-03-27,1436.510009765625
2002-03-28,1452.81005859375
2002-04-01,1478.52001953125
2002-04-02,1410.4100341796875
2002-04-03,1394.2099609375
2002-04-04,1396.969970703125
2002-04-05,1376.719970703125
2002-04-08,1392.9599609375
2002-04-09,1345.3199462890625
2002-04-10,1363.2900390625
2002-04-11,1324.6500244140625
2002-04-12,1351.8499755859375
2002-04-15,1355.0899658203125
2002-04-16,1413.9300537109375
2002-04-17,1403.7099609375
2002-04-18,1395.9000244140625
2002-04-19,1385.010009765625
2002-04-22,1349.8299560546875
2002-04-23,1322.81005859375
2002-04-24,1302.3199462890625
2002-04-25,1302.3199462890625
2002-04-26,1250.8900146484375
2002-04-29,1246.75
2002-04-30,1277.0699462890625
2002-05-01,1267.43994140625
2002-05-02,1225.3699951171875
2002-05-03,1190.739990234375
2002-05-06,1161.1600341796875
2002-05-07,1159.25
2002-05-08,1282.4100341796875
2002-05-09,1240.4100341796875
2002-05-10,1188.780029296875
2002-05-13,1241.5400390625
2002-05-14,1305.550048828125
2002-05-15,1311.050048828125
2002-05-16,1315.8499755859375
2002-05-17,1325.800048828125
2002-05-20,1292.2099609375
2002-05-21,1255.9100341796875
2002-05-22,1264.510009765625
2002-05-23,1286.77001953125
2002-05-24,1253.030029296875
2002-05-28,1244.8199462890625
2002-05-29,1218.6800537109375
2002-05-30,1227.9000244140625
2002-05-31,1208.3399658203125
2002-06-03,1159.1500244140625
2002-06-04,1178.800048828125
2002-06-05,1195.5999755859375
2002-06-06,1157.6199951171875
2002-06-07,1140.239990234375
2002-06-10,1135.6199951171875
2002-06-11,1100.969970703125
2002-06-12,1123.3399658203125
2002-06-13,1106.5400390625
2002-06-14,1109.5999755859375
2002-06-17,1149.9100341796875
2002-06-18,1138.469970703125
2002-06-19,1097.5400390625
2002-06-20,1062.449951171875
2002-06-21,1035.6300048828125
2002-06-24,1057.6800537109375
2002-06-25,1022.739990234375
2002-06-26,1027.219970703125
2002-06-27,1050.6400146484375
2002-06-28,1051.4100341796875
2002-07-01,998.1699829101562
2002-07-02,963.6599731445312
2002-07-03,995.6799926757812
2002-07-05,1060.8900146484375
2002-07-08,1014.3300170898438
2002-07-09,990.22998046875
2002-07-10,959.0499877929688
2002-07-11,998.030029296875
2002-07-12,1000.8200073242188
2002-07-15,1021.02001953125
2002-07-16,1011.2999877929688
2002-07-17,1028.739990234375
2002-07-18,994.6099853515625
2002-07-19,965.3699951171875
2002-07-22,939.0999755859375
2002-07-23,896.8200073242188
2002-07-24,951.5800170898438
2002-07-25,894.4500122070312
2002-07-26,910.9099731445312
2002-07-29,970.1300048828125
2002-07-30,980.3599853515625
2002-07-31,962.0999755859375
2002-08-01,913.5900268554688
2002-08-02,892.510009765625
2002-08-05,857.0800170898438
2002-08-06,901.9099731445312
2002-08-07,919.0800170898438
2002-08-08,947.239990234375
2002-08-09,937.3300170898438
2002-08-12,938.97998046875
2002-08-13,907.6199951171875
2002-08-14,968.8400268554688
2002-08-15,980.97998046875
2002-08-16,996.0599975585938
2002-08-19,1026.06005859375
2002-08-20,1008.02001953125
2002-08-21,1035.469970703125
2002-08-22,1049.030029296875
2002-08-23,1010.489990234375
2002-08-26,1016.7899780273438
2002-08-27,974.469970703125
2002-08-28,944.8300170898438
2002-08-29,961.75
2002-08-30,942.3800048828125
2002-09-03,899.6400146484375
2002-09-04,920.97998046875
2002-09-05,882.9199829101562
2002-09-06,922.219970703125
2002-09-09,932.22998046875
2002-09-10,947.719970703125
2002-09-11,946.4000244140625
2002-09-12,915.010009765625
2002-09-13,923.8300170898438
2002-09-16,908.47998046875
2002-09-17,897.530029296875
2002-09-18,895.2000122070312
2002-09-19,865.9299926757812
2002-09-20,871.5999755859375
2002-09-23,843.0800170898438
2002-09-24,843.6099853515625
2002-09-25,880.4400024414062
2002-09-26,873.739990234375
2002-09-27,860.3499755859375
2002-09-30,832.52001953125
2002-10-01,870.6300048828125
2002-10-02,849.5499877929688
2002-10-03,833.2100219726562
2002-10-04,815.4000244140625
2002-10-07,804.6400146484375
2002-10-08,811.5
2002-10-09,807.4199829101562
2002-10-10,849.5700073242188
2002-10-11,890.6099853515625
2002-10-14,900.75
2002-10-15,950.4199829101562
2002-10-16,910.1300048828125
2002-10-17,945.0599975585938
2002-10-18,956.1300048828125
2002-10-21,979.3499755859375
2002-10-22,963.8699951171875
2002-10-23,989.3200073242188
2002-10-24,964.9099731445312
2002-10-25,995.5499877929688
2002-10-28,979.5499877929688
2002-10-29,960.8200073242188
2002-10-30,986.0900268554688
